app,score,date,thumbs_up,content
Hevy,5,2025-12-16,1,"This is exactly what I've been looking for, a good app for tracking workouts without all the videos, preplanned workouts, and fluff. I don't even know how I would improve it aside from it missing a couple exercises (but you can just input it manually). The free version is great, but it's amazing that it can be bought for a one-time fee of $75. I was planning on using the free one for a while just to check before buying it, but ended up buying it after a day or so."
Hevy,5,2026-01-30,1,I switched from Strong to Hevy at the behest of a friend who wanted to see my workouts and it's been a real upgrade! I even upgraded to the paid version when they had an end of year discount and haven't regretted it. I'm a real sucker for data visualization and it's been cool to see myself improving over time in graph form. Have only used it for a few months but so far it's been fantastic!
Hevy,5,2026-01-23,1,"Really great workout app. A wide selection of exercises even if you don't have that much equipment at home, you can easily find some exercises for every muscle group. I believe the app recently improved supersets workouts. I love the scroll to the next exercise feature, especially useful with supersets,so I don't have to wonder around what is next."
Hevy,5,2025-12-07,1,"I don't usually like subscription models, this one feels like it is a fair ask per month!! things like the rest timer automatically activating when I finish a set, the ability to really quickly throw up custom exercises, and the instructional videos on each exercise so that I can get a brief refresher on form. if it's been a while on an exercise, make it a really good value. value. I think I've used almost all of the main trackers, this is the best. thanks for streamlining the morning!"
Hevy,5,2026-01-31,2,"I really like this app. I use the free version for about 30 days before I decided I wanted to upgrade to Pro. I think the free version would be great for someone who only works out at one gym, but I use multiple gems so this allowed me to create different routines for each gym and Unlimited Custom exercises. you have to dig into the settings a little bit to get your rest timer working properly, and just to get things the way you like them to be as far as reading your effort and things like that."
Hevy,5,2026-01-09,0,"It has been very useful for me. In one app I can keep track on my previous exercises, weight, and reps. Additionally, it keeps track of the muscles worked so I can focus on the ones that need more attention. I upgraded to pay account so I can create more than 3 workouts. I like that it was a one-time payment, very affordable. Forget the montjly fees."
Hevy,5,2026-02-02,2,"I don't write reviews for anything, except Hevy. It's the only gym tracker I've stuck with. It's easy to use, definitely worth the one time purchase for the additional workouts and custom exercises. My favorite is at the end of a workout seeing exactly how much I've lifted and what that compares to (like a T-Rex!) Thank you for making an app for the gym that isn't bloated or gamified, just gains! ❤️"
Hevy,5,2026-01-10,0,"great app for tracking workouts, my strength and weights have been going up steadily from keeping track of things with it. I am a beginner, but it seems hevy has all the essential functions for beginners and experts alike. I also like the friends aspect of it, I didn't think I would care about it but now a few friends of mine use the app and it's so fun to see everyone's workouts."
Hevy,5,2026-01-08,0,"As someone who has always been inconsistent in the gym, Hevy helps me keep track of what my numbers are for different exercises which makes getting back into the grind much easier. Not to mention, you can look up a machine or exercise name that may seem confusing and it'll give you an animation for how it's supposed to be performed."
Hevy,4,2026-01-17,3,I'll start by saying I really like this app and recommend it to all my friends and students. But I'm starting to get irked with the lack of integration with Garmin because I can't track my heart rate otherwise. So then I have to have 2 trackers running at once and monitor both. I'm also annoyed that exercises like Kettlebell Swings aren't accounted for in the muscle group breakdown. I feel like that's an easy fix. You give primary and secondary muscles for everything else. Why not these?
Hevy,5,2026-01-12,0,"I've never liked a workout app before, but this is incredible. It keeps me focused in workouts, and gives me all the data I need to make decisions about my workouts. It is incredible that the app is so intuitive while giving me so much information. Also, I love the workout summaries that tell me ""this workout was like lifting a truck""."
Hevy,4,2026-02-18,2,"Great app. One small problem. I love this app. It makes tracking my workouts super easy and it plays well with my other fitness apps, however, the WearOS version drains my watch so fast. I don't know if it's tracking more than the Fitbit app does, but I can track a whole hour and a half workout with the Fitbit app, and still have enough battery to last the rest of the day, but with this app tracking my workouts, I'll get down to 15% and have to charge again before I go to work."
